id,absolute_y_path,absolute_x_path
Style_A/26/392,/home/ziggy/dev/openfwi_unpacked/Style_A/26/392/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/392/x.npy
Style_A/26/26,/home/ziggy/dev/openfwi_unpacked/Style_A/26/26/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/26/x.npy
Style_A/26/386,/home/ziggy/dev/openfwi_unpacked/Style_A/26/386/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/386/x.npy
Style_A/26/79,/home/ziggy/dev/openfwi_unpacked/Style_A/26/79/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/79/x.npy
Style_A/26/308,/home/ziggy/dev/openfwi_unpacked/Style_A/26/308/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/308/x.npy
Style_A/26/132,/home/ziggy/dev/openfwi_unpacked/Style_A/26/132/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/132/x.npy
Style_A/26/483,/home/ziggy/dev/openfwi_unpacked/Style_A/26/483/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/483/x.npy
Style_A/26/486,/home/ziggy/dev/openfwi_unpacked/Style_A/26/486/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/486/x.npy
Style_A/26/487,/home/ziggy/dev/openfwi_unpacked/Style_A/26/487/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/487/x.npy
Style_A/26/480,/home/ziggy/dev/openfwi_unpacked/Style_A/26/480/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/480/x.npy
Style_A/26/344,/home/ziggy/dev/openfwi_unpacked/Style_A/26/344/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/344/x.npy
Style_A/26/338,/home/ziggy/dev/openfwi_unpacked/Style_A/26/338/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/338/x.npy
Style_A/26/256,/home/ziggy/dev/openfwi_unpacked/Style_A/26/256/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/256/x.npy
Style_A/26/191,/home/ziggy/dev/openfwi_unpacked/Style_A/26/191/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/191/x.npy
Style_A/26/227,/home/ziggy/dev/openfwi_unpacked/Style_A/26/227/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/227/x.npy
Style_A/26/198,/home/ziggy/dev/openfwi_unpacked/Style_A/26/198/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/198/x.npy
Style_A/26/349,/home/ziggy/dev/openfwi_unpacked/Style_A/26/349/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/349/x.npy
Style_A/26/314,/home/ziggy/dev/openfwi_unpacked/Style_A/26/314/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/314/x.npy
Style_A/26/438,/home/ziggy/dev/openfwi_unpacked/Style_A/26/438/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/438/x.npy
Style_A/26/165,/home/ziggy/dev/openfwi_unpacked/Style_A/26/165/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/165/x.npy
Style_A/26/177,/home/ziggy/dev/openfwi_unpacked/Style_A/26/177/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/177/x.npy
Style_A/26/455,/home/ziggy/dev/openfwi_unpacked/Style_A/26/455/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/455/x.npy
Style_A/26/94,/home/ziggy/dev/openfwi_unpacked/Style_A/26/94/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/94/x.npy
Style_A/26/234,/home/ziggy/dev/openfwi_unpacked/Style_A/26/234/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/234/x.npy
Style_A/26/97,/home/ziggy/dev/openfwi_unpacked/Style_A/26/97/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/97/x.npy
Style_A/26/294,/home/ziggy/dev/openfwi_unpacked/Style_A/26/294/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/294/x.npy
Style_A/26/446,/home/ziggy/dev/openfwi_unpacked/Style_A/26/446/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/446/x.npy
Style_A/26/247,/home/ziggy/dev/openfwi_unpacked/Style_A/26/247/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/247/x.npy
Style_A/26/103,/home/ziggy/dev/openfwi_unpacked/Style_A/26/103/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/103/x.npy
Style_A/26/491,/home/ziggy/dev/openfwi_unpacked/Style_A/26/491/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/491/x.npy
Style_A/26/305,/home/ziggy/dev/openfwi_unpacked/Style_A/26/305/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/305/x.npy
Style_A/26/205,/home/ziggy/dev/openfwi_unpacked/Style_A/26/205/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/205/x.npy
Style_A/26/70,/home/ziggy/dev/openfwi_unpacked/Style_A/26/70/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/70/x.npy
Style_A/26/332,/home/ziggy/dev/openfwi_unpacked/Style_A/26/332/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/332/x.npy
Style_A/26/355,/home/ziggy/dev/openfwi_unpacked/Style_A/26/355/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/355/x.npy
Style_A/26/236,/home/ziggy/dev/openfwi_unpacked/Style_A/26/236/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/236/x.npy
Style_A/26/299,/home/ziggy/dev/openfwi_unpacked/Style_A/26/299/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/299/x.npy
Style_A/26/189,/home/ziggy/dev/openfwi_unpacked/Style_A/26/189/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/189/x.npy
Style_A/26/336,/home/ziggy/dev/openfwi_unpacked/Style_A/26/336/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/336/x.npy
Style_A/26/179,/home/ziggy/dev/openfwi_unpacked/Style_A/26/179/y.npy,/home/ziggy/dev/openfwi_unpacked/Style_A/26/179/x.npy
